CONGLOME,VIVIENDA,HOGAR,UBIGEO,POBREZA,POBREZAV,GASHOG2D,FACTOR07,recibe_pension65,tamano_hogar,n_65mas,tiene_65mas,NBI1,NBI2,NBI3,NBI4,NBI5,pct_miembros_con_seguro,algun_miembro_sin_seguro,gasto_salud_hogar
015152,070,11,010512,2,2,6529.66943359375,65.2061309814453,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,117.0
015152,119,11,010512,3,4,27550.21875,65.2061309814453,0.0,3,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,3382.4293823242188
015152,135,11,010512,3,3,23300.98828125,65.2061309814453,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,171.0
015161,013,11,010702,3,3,26915.5859375,65.2061309814453,0.0,6,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,923.0
015161,014,11,010702,3,3,26368.365234375,65.2061309814453,1.0,6,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,2933.0
015161,321,11,010702,3,3,22840.013671875,65.2061309814453,0.0,6,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,31.0
015161,322,11,010702,3,3,9033.546875,65.2061309814453,0.0,2,1,True,1.0,0.0,0.0,0.0,0.0,0.5,True,347.0
015161,324,11,010702,3,3,4966.0576171875,65.2061309814453,1.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,1714.0
015161,326,11,010702,3,3,7592.16650390625,65.2061309814453,0.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,74.0
015161,327,11,010702,2,2,11593.427734375,65.2061309814453,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,607.0
015191,007,11,021809,3,4,52604.65234375,456.346343994141,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,5896.0
015191,021,11,021809,3,4,73482.640625,456.346343994141,0.0,3,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,6950.17431640625
015191,033,11,021809,3,4,26465.8046875,456.346343994141,0.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,819.0
015191,047,11,021809,3,4,57419.5546875,456.346343994141,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,3993.0517578125
015191,062,11,021809,3,4,64836.51171875,456.346343994141,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,0.0,True,3602.0
015191,077,11,021809,3,4,94293.0625,456.346343994141,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,281.0
015191,089,11,021809,3,4,36415.90625,456.346343994141,0.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,5074.0
015191,100,11,021809,3,3,51652.421875,456.346343994141,0.0,6,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,6931.0
015202,010,11,021801,3,4,11491.1728515625,7.13996362686157,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,126.0
015202,026,11,021801,3,4,51423.953125,7.13996362686157,0.0,4,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,403.0
